type,name,latitude_deg,longitude_deg,continent,iso_country,iso_region,municipality,icao_code,iata_code,timezone
medium_airport,Minot International Airport,48.2593994140625,-101.27999877929688,NA,US,US-ND,Minot,KMOT,MOT,America/Chicago
small_airport,Morris Municipal Airport Charlie Schmidt Field,45.566002,-95.967201,NA,US,US-MN,Morris,KMOX,MOX,America/Chicago
small_airport,Mariposa Yosemite Airport,37.5108985901,-120.040000916,NA,US,US-CA,Mariposa,KMPI,RMY,America/Los_Angeles
small_airport,Petit Jean Park Airport,35.138901,-92.909202,NA,US,US-AR,Morrilton,KMPJ,MPJ,America/Chicago
small_airport,Pocono Mountains Municipal Airport,41.136025,-75.379572,NA,US,US-PA,Mount Pocono,KMPO,MPO,America/New_York
small_airport,Mc Pherson Airport,38.352402,-97.691299,NA,US,US-KS,Mc Pherson,KMPR,MPR,America/Chicago
medium_airport,Edward F Knapp State Airport,44.20349884,-72.56230164,NA,US,US-VT,Barre/Montpelier,KMPV,MPV,America/New_York
small_airport,Mount Pleasant Municipal Airport,40.94660187,-91.51110077,NA,US,US-IA,Mount Pleasant,KMPZ,MPZ,America/Chicago
small_airport,Macomb Municipal Airport,40.520099639899996,-90.65239715579999,NA,US,US-IL,Macomb,KMQB,MQB,America/Chicago
small_airport,Dare County Regional Airport,35.91879,-75.695662,NA,US,US-NC,Manteo,KMQI,MEO,America/New_York
small_airport,Chester County G O Carlson Airport,39.97900009,-75.8655014,NA,US,US-PA,Coatesville,KMQS,CTH,America/New_York
small_airport,Telfair Wheeler Airport,32.095798,-82.879997,NA,US,US-GA,Mc Rae,KMQW,MQW,America/New_York
medium_airport,Smyrna Airport,36.0089988708,-86.5201034546,NA,US,US-TN,Smyrna,KMQY,MQY,America/Chicago
medium_airport,Eastern WV Regional Airport/Shepherd Field,39.40190125,-77.98459625,NA,US,US-WV,Martinsburg,KMRB,MRB,America/New_York
small_airport,Maury County Airport,35.5541000366,-87.17890167239999,NA,US,US-TN,Columbia/Mount Pleasant,KMRC,MRC,America/Chicago
small_airport,Marfa Municipal Airport,30.369593,-104.015893,NA,US,US-TX,Marfa,KMRF,MRF,America/Chicago
small_airport,Foothills Regional Airport,35.820202,-81.611397,NA,US,US-NC,Morganton,KMRN,MRN,America/New_York
medium_airport,Monterey Peninsula Airport,36.58700180053711,-121.84300231933594,NA,US,US-CA,Monterey,KMRY,MRY,America/Los_Angeles
